"sampType";"landCtry";"vslFlgCtry";"year";"proj";"trpCode";"staNum";"foVal";"aggLev";"catReg";"sppReg";"date";"time";"foDur";"latIni";"lonIni";"latFin";"lonFin";"area";"rect";"subRect";"foDep";"waterDep";"foCatNat";"foCatEu5";"foCatEu6";"meshSize";"selDev";"meshSizeSelDev"
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"01_18_2017";999;NA;"T";"Lan";"All";"08/01/1900";NA;1200;-1;-1;-1;-1;"GSA99";NA;NA;65;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"02_18_2017";999;NA;"T";"All";"All";"21/01/1900";NA;510;-1;-1;-1;-1;"GSA99";NA;NA;188;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"03_18_2017";999;NA;"T";"All";"All";"31/01/1900";NA;1155;-1;-1;-1;-1;"GSA99";NA;NA;115;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"09_18_2017";999;NA;"T";"Lan";"All";"29/01/1900";NA;2880;-1;-1;-1;-1;"GSA99";NA;NA;148;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"101_18_2017";999;NA;"T";"All";"All";"17/01/1900";NA;960;-1;-1;-1;-1;"GSA99";NA;NA;81;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"110_18_2017";999;NA;"T";"Lan";"All";"22/01/1900";NA;1980;-1;-1;-1;-1;"GSA99";NA;NA;104;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"112_18_2017";999;NA;"T";"All";"All";"22/01/1900";NA;795;-1;-1;-1;-1;"GSA99";NA;NA;13;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"118_18_2017";999;NA;"T";"All";"All";"21/01/1900";NA;2145;-1;-1;-1;-1;"GSA99";NA;NA;39;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"121_18_2017";999;NA;"T";"Lan";"All";"18/01/1900";NA;1320;-1;-1;-1;-1;"GSA99";NA;NA;156;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"122_18_2017";999;NA;"T";"Lan";"All";"19/01/1900";NA;960;-1;-1;-1;-1;"GSA99";NA;NA;74;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"123_18_2017";999;NA;"T";"All";"All";"22/01/1900";NA;1200;-1;-1;-1;-1;"GSA99";NA;NA;60;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"124_18_2017";999;NA;"T";"Lan";"All";"14/01/1900";NA;2100;-1;-1;-1;-1;"GSA99";NA;NA;320;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"125_18_2017";999;NA;"T";"All";"All";"01/01/1900";NA;1005;-1;-1;-1;-1;"GSA99";NA;NA;77;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"126_18_2017";999;NA;"T";"Lan";"All";"13/01/1900";NA;1230;-1;-1;-1;-1;"GSA99";NA;NA;93;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"127_18_2017";999;NA;"T";"All";"All";"01/01/1900";NA;1095;-1;-1;-1;-1;"GSA99";NA;NA;75;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"13_18_2017";999;NA;"T";"Lan";"All";"22/01/1900";NA;1440;-1;-1;-1;-1;"GSA99";NA;NA;63;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"16_18_2017";999;NA;"T";"Lan";"All";"09/01/1900";NA;1440;-1;-1;-1;-1;"GSA99";NA;NA;89;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"17_18_2017";999;NA;"T";"All";"All";"29/01/1900";NA;1950;-1;-1;-1;-1;"GSA99";NA;NA;346;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"18_18_2017";999;NA;"T";"Lan";"All";"23/01/1900";NA;900;-1;-1;-1;-1;"GSA99";NA;NA;200;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"19_18_2017";999;NA;"T";"All";"All";"23/01/1900";NA;960;-1;-1;-1;-1;"GSA99";NA;NA;100;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"20_18_2017";999;NA;"T";"Lan";"All";"09/01/1900";NA;840;-1;-1;-1;-1;"GSA99";NA;NA;87;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"21_18_2017";999;NA;"T";"All";"All";"29/01/1900";NA;1500;-1;-1;-1;-1;"GSA99";NA;NA;102;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"24_18_2017";999;NA;"T";"All";"All";"20/01/1900";NA;960;-1;-1;-1;-1;"GSA99";NA;NA;89;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"31_18_2017";999;NA;"T";"Lan";"All";"11/01/1900";NA;1170;-1;-1;-1;-1;"GSA99";NA;NA;55;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"32_18_2017";999;NA;"T";"All";"All";"30/01/1900";NA;1050;-1;-1;-1;-1;"GSA99";NA;NA;80;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"57_18_2017";999;NA;"T";"Lan";"All";"24/01/1900";NA;1800;-1;-1;-1;-1;"GSA99";NA;NA;165;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"60_18_2017";999;NA;"T";"Lan";"All";"26/01/1900";NA;1440;-1;-1;-1;-1;"GSA99";NA;NA;67;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"63_18_2017";999;NA;"T";"All";"All";"25/01/1900";NA;750;-1;-1;-1;-1;"GSA99";NA;NA;391;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"64_18_2017";999;NA;"T";"All";"All";"16/01/1900";NA;675;-1;-1;-1;-1;"GSA99";NA;NA;79;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"65_18_2017";999;NA;"T";"Lan";"All";"08/01/1900";NA;1680;-1;-1;-1;-1;"GSA99";NA;NA;69;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"66_18_2017";999;NA;"T";"All";"All";"29/01/1900";NA;1920;-1;-1;-1;-1;"GSA99";NA;NA;204;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"67_18_2017";999;NA;"T";"Lan";"All";"05/01/1900";NA;2055;-1;-1;-1;-1;"GSA99";NA;NA;301;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"70_18_2017";999;NA;"T";"All";"All";"10/01/1900";NA;870;-1;-1;-1;-1;"GSA99";NA;NA;91;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"71_18_2017";999;NA;"T";"All";"All";"13/01/1900";NA;-1;-1;-1;-1;-1;"GSA99";NA;NA;97;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"79_18_2017";999;NA;"T";"Lan";"All";"26/01/1900";NA;1470;-1;-1;-1;-1;"GSA99";NA;NA;43;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"80_18_2017";999;NA;"T";"Lan";"All";"26/01/1900";NA;1125;-1;-1;-1;-1;"GSA99";NA;NA;62;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"81_18_2017";999;NA;"T";"Lan";"All";"20/01/1900";NA;900;-1;-1;-1;-1;"GSA99";NA;NA;62;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"82_18_2017";999;NA;"T";"Lan";"All";"28/01/1900";NA;1335;-1;-1;-1;-1;"GSA99";NA;NA;192;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"87_18_2017";999;NA;"T";"Lan";"All";"26/01/1900";NA;2880;-1;-1;-1;-1;"GSA99";NA;NA;135;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"89_18_2017";999;NA;"T";"Lan";"All";"26/01/1900";NA;960;-1;-1;-1;-1;"GSA99";NA;NA;65;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"96_18_2017";999;NA;"T";"All";"All";"27/01/1900";NA;540;-1;-1;-1;-1;"GSA99";NA;NA;104;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"97_18_2017";999;NA;"T";"All";"All";"03/01/1900";NA;1158;-1;-1;-1;-1;"GSA99";NA;NA;105;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"98_18_2017";999;NA;"T";"All";"All";"15/01/1900";NA;945;-1;-1;-1;-1;"GSA99";NA;NA;89;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"02_19_2017";999;NA;"T";"Lan";"All";"31/01/1900";NA;420;-1;-1;-1;-1;"GSA99";NA;NA;132;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"101_19_2017";999;NA;"T";"Lan";"All";"01/01/1900";NA;450;-1;-1;-1;-1;"GSA99";NA;NA;300;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"103_19_2017";999;NA;"T";"All";"All";"07/01/1900";NA;690;-1;-1;-1;-1;"GSA99";NA;NA;452;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"106_19_2017";999;NA;"T";"All";"All";"15/01/1900";NA;840;-1;-1;-1;-1;"GSA99";NA;NA;186;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"113_19_2017";999;NA;"T";"All";"All";"08/01/1900";NA;690;-1;-1;-1;-1;"GSA99";NA;NA;396;-1;"OTB_slope";NA;"OTB_DWS_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"114_19_2017";999;NA;"T";"Lan";"All";"13/01/1900";NA;540;-1;-1;-1;-1;"GSA99";NA;NA;136;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"115_19_2017";999;NA;"T";"Lan";"All";"07/01/1900";NA;450;-1;-1;-1;-1;"GSA99";NA;NA;480;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"14_19_2017";999;NA;"T";"Lan";"All";"15/01/1900";NA;900;-1;-1;-1;-1;"GSA99";NA;NA;450;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"140_19_2017";999;NA;"T";"Lan";"All";"30/01/1900";NA;900;-1;-1;-1;-1;"GSA99";NA;NA;325;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"18_19_2017";999;NA;"T";"All";"All";"14/01/1900";NA;690;-1;-1;-1;-1;"GSA99";NA;NA;150;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"21_19_2017";999;NA;"T";"All";"All";"22/01/1900";NA;375;-1;-1;-1;-1;"GSA99";NA;NA;409;-1;"OTB_slope";NA;"OTB_DWS_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"22_19_2017";999;NA;"T";"All";"All";"22/01/1900";NA;540;-1;-1;-1;-1;"GSA99";NA;NA;368;-1;"OTB_slope";NA;"OTB_DWS_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"28_19_2017";999;NA;"T";"All";"All";"30/01/1900";NA;780;-1;-1;-1;-1;"GSA99";NA;NA;99;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"29_19_2017";999;NA;"T";"Lan";"All";"29/01/1900";NA;480;-1;-1;-1;-1;"GSA99";NA;NA;340;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"32_19_2017";999;NA;"T";"Lan";"All";"21/01/1900";NA;420;-1;-1;-1;-1;"GSA99";NA;NA;290;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"37_19_2017";999;NA;"T";"All";"All";"03/01/1900";NA;1125;-1;-1;-1;-1;"GSA99";NA;NA;392;-1;"OTB_slope";NA;"OTB_DWS_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"38_19_2017";999;NA;"T";"All";"All";"27/01/1900";NA;750;-1;-1;-1;-1;"GSA99";NA;NA;90;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"39_19_2017";999;NA;"T";"Lan";"All";"24/01/1900";NA;420;-1;-1;-1;-1;"GSA99";NA;NA;340;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"46_19_2017";999;NA;"T";"Lan";"All";"16/01/1900";NA;480;-1;-1;-1;-1;"GSA99";NA;NA;230;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"49_19_2017";999;NA;"T";"All";"All";"10/01/1900";NA;570;-1;-1;-1;-1;"GSA99";NA;NA;351;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"50_19_2017";999;NA;"T";"All";"All";"02/01/1900";NA;615;-1;-1;-1;-1;"GSA99";NA;NA;413;-1;"OTB_slope";NA;"OTB_DWS_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"51_19_2017";999;NA;"T";"All";"All";"25/01/1900";NA;900;-1;-1;-1;-1;"GSA99";NA;NA;243;-1;"OTB_ mixed";NA;"OTB_MDD_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"85_19_2017";999;NA;"T";"Lan";"All";"17/01/1900";NA;570;-1;-1;-1;-1;"GSA99";NA;NA;115;-1;"OTB_slope";NA;"OTB_DWS_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"86_19_2017";999;NA;"T";"All";"All";"27/01/1900";NA;810;-1;-1;-1;-1;"GSA99";NA;NA;148;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"87_19_2017";999;NA;"T";"All";"All";"03/01/1900";NA;600;-1;-1;-1;-1;"GSA99";NA;NA;73;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
"S";"COUNTRY1";"COUNTRY1";1900;"STREAM project";"96_19_2017";999;NA;"T";"Lan";"All";"24/01/1900";NA;420;-1;-1;-1;-1;"GSA99";NA;NA;220;-1;"OTB_shelf";NA;"OTB_DEF_>=40_0_0";NA;NA;NA
